,ZIP Code,SAFMR 0BR,SAFMR 1BR,SAFMR 2BR,SAFMR 3BR,SAFMR 4BR,Total Population,Median Age,Percent Males,Percent Females,"Percent Race, White","Percent Race, Black","Percent Race, Native or Alaskan","Percent Race, Asian","Percent Race, Native Hawaiian or Pacific Islander","Percent Race, Two or more races","Percent Race, Hispanic or Latino",Percent speak another language at home,Percent never married,Percent married,Percent divorced,Percent widowed,Percent less than high school, Percent high school graduate,Percent some college or associates,Percent college graduate,Percent graduate degree,Median income in past year,"Percent, 100 poverty status","Percent, 100 TO 149 poverty status","Percent, 150 poverty status","Total population, born in state of residence",Percent born in state of residence,RES_RATIO,State,Total Gender,Region
10311,17504,900,1030,1290,1640,1730,99,60.6,40.4,59.6,59.6,0.0,0.0,0.0,0.0,40.4,0.0,0.0,25.3,74.7,0.0,0.0,0.0,57.9,19.7,2.6,19.7,13565,0.0,2.0,98.0,82,82.82828282828282,1.0,PA,100.0,NE
17869,18705,660,770,940,1220,1320,15595,38.9,50.5,49.5,70.5,4.3,0.0,0.5,0.7,10.6,22.2,21.0,39.0,41.5,11.4,8.1,11.9,33.2,31.5,17.1,6.3,32055,18.8,16.0,65.2,10847,69.55434434113498,1.0,PA,100.0,NE
2058,14817,1040,1120,1310,1660,1760,2811,37.8,48.6,51.4,82.7,1.7,0.0,2.2,0.0,10.9,2.4,6.0,41.2,38.1,13.9,6.7,2.0,19.8,21.1,27.9,29.1,55615,9.4,3.0,87.5,1773,63.073639274279614,1.0,NY,100.0,NE
19484,13454,690,690,870,1060,1250,754,44.2,44.2,55.8,93.5,0.0,0.0,0.0,0.0,5.8,1.1,1.0,30.7,38.6,27.4,3.3,5.7,43.3,37.7,8.3,4.9,32054,11.2,6.7,82.1,689,91.3793103448276,1.0,NY,100.0,NE
2046,13850,860,900,1140,1490,1620,23675,41.9,49.5,50.5,78.9,2.2,0.1,11.7,0.0,5.0,5.3,15.6,30.7,52.7,10.1,6.5,6.2,20.9,27.8,22.4,22.7,40985,13.9,6.6,79.4,16276,68.74762407602957,1.0,NY,100.0,NE
13497,10588,1820,1850,2230,2770,3060,3081,36.9,44.3,55.7,86.5,1.9,0.0,7.3,0.0,2.0,11.6,21.1,32.9,47.0,6.4,13.7,11.5,17.6,19.0,30.3,21.6,70410,0.9,6.1,93.0,2285,74.16423239208049,1.0,NY,100.0,NE
15075,15322,810,850,1030,1300,1430,1656,42.4,48.1,51.9,95.4,1.3,0.0,0.0,0.0,3.3,2.4,0.4,33.0,49.3,9.0,8.7,6.0,32.9,34.1,18.8,8.3,34570,8.1,8.7,83.2,1297,78.32125603864735,1.0,PA,100.0,NE
14989,15083,820,860,1040,1320,1450,1061,57.5,51.2,48.8,98.0,0.0,0.1,0.0,0.0,1.9,0.0,0.7,31.0,42.4,6.6,19.9,12.5,37.8,21.4,14.1,14.1,36575,9.3,5.7,85.1,862,81.24410933081998,1.0,PA,100.0,NE
10353,17569,890,1030,1290,1640,1740,7136,38.8,50.1,49.9,94.7,1.1,0.0,1.1,0.1,1.8,4.6,9.0,21.3,65.4,9.1,4.2,14.8,39.2,23.7,15.4,6.9,46108,7.0,1.6,91.4,5690,79.73654708520179,1.0,PA,100.0,NE
13378,10012,3190,3260,3680,4620,4980,21846,35.5,47.8,52.2,69.0,3.3,0.3,17.3,0.0,6.8,10.5,23.7,59.6,30.9,7.0,2.4,4.0,4.9,7.8,49.6,33.7,85964,11.0,4.6,84.4,5976,27.355122219170557,1.0,NY,100.0,NE
7518,12838,810,920,1150,1490,1540,699,43.9,56.5,43.5,94.6,0.0,0.0,0.0,0.0,5.4,2.7,0.9,24.9,63.4,9.9,1.8,5.0,38.1,39.4,13.3,4.2,37566,10.4,0.7,88.8,571,81.68812589413447,1.0,NY,100.0,NE
